,Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Tipo de delito,Subtipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
285701,2016,19,Nuevo León,19036,Mier y Noriega,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,1
285799,2016,19,Nuevo León,19037,Mina,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,1,0,0,0,0,0
285897,2016,19,Nuevo León,19038,Montemorelos,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,3,0,1,1,5,3,2,2,3,3,0,0
285995,2016,19,Nuevo León,19039,Monterrey,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,31,39,40,32,39,47,56,49,35,42,39,39
286093,2016,19,Nuevo León,19040,Parás,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,1,0,0
286191,2016,19,Nuevo León,19041,Pesquería,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,4,4,6,3,7,5,8,3,7,9,7,3
286289,2016,19,Nuevo León,19042,Los Ramones,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,1,0,0,4,0,0,0,0,0,0,0,0
286387,2016,19,Nuevo León,19043,Rayones,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
286485,2016,19,Nuevo León,19044,Sabinas Hidalgo,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,1,0,0,0,2,2,0,0,1,1
286583,2016,19,Nuevo León,19045,Salinas Victoria,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,1,2,1,2,2,4,5,5,2,3,4,5
286681,2016,19,Nuevo León,19046,San Nicolás de los Garza,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,6,10,12,11,17,17,18,10,15,15,12,14
286779,2016,19,Nuevo León,19047,Hidalgo,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,1,0,1,0,1,0,0,0,0
286877,2016,19,Nuevo León,19048,Santa Catarina,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,9,3,7,12,7,8,10,8,2,7,12,10
286975,2016,19,Nuevo León,19049,Santiago,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,2,1,0,3,1,2,7,0,1,5,1,0
287073,2016,19,Nuevo León,19050,Vallecillo,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,1,0,0,0,0,0
287171,2016,19,Nuevo León,19051,Villaldama,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,1,0,0,3,2,0,0,0
287269,2016,20,Oaxaca,20002,Acatlán de Pérez Figueroa,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,1,0,0,0,1,0,0,0,1,0,0,0
287367,2016,20,Oaxaca,20014,Ciudad Ixtepec,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
287465,2016,20,Oaxaca,20039,Heroica Ciudad de Huajuapan de León,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,1,0,1,1,1,1,0,0,0,0,0
287563,2016,20,Oaxaca,20041,Huautla de Jiménez,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,4,0,0,0,0,0,0,0,0,0
287661,2016,20,Oaxaca,20043,Heroica Ciudad de Juchitán de Zaragoza,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,2,0,0,0,1,0,0,0,1,0
287759,2016,20,Oaxaca,20044,Loma Bonita,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,1,1,1,2,1,0,0,0,1,0,0,0
287857,2016,20,Oaxaca,20057,Matías Romero Avendaño,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,1,0,1,0,0,0,1,0,0,0,1,0
287955,2016,20,Oaxaca,20059,Miahuatlán de Porfirio Díaz,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,2,0,0,0,0
288053,2016,20,Oaxaca,20067,Oaxaca de Juárez,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,2,1,3,1,1,0,4,0,0,5,1
288151,2016,20,Oaxaca,20068,Ocotlán de Morelos,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
288249,2016,20,Oaxaca,20073,Putla Villa de Guerrero,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,1,0,1,0,0,0,0,0
288347,2016,20,Oaxaca,20079,Salina Cruz,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,1,0,1,0,0,0,0
288445,2016,20,Oaxaca,20085,San Agustín Loxicha,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
288543,2016,20,Oaxaca,20107,San Antonio de la Cal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,2,0,0,0,0,0,0
288641,2016,20,Oaxaca,20134,San Felipe Jalapa de Díaz,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,1,0,0,0,0,0,0,0,0,0,0,0
288739,2016,20,Oaxaca,20184,San Juan Bautista Tuxtepec,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,2,1,1,2,0,0,0,1,1,0,0,1
288837,2016,20,Oaxaca,20190,San Juan Cotzocón,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,1,1,0,1,0
288935,2016,20,Oaxaca,20198,San Juan Guichicovi,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
289033,2016,20,Oaxaca,20232,San Lucas Ojitlán,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
289131,2016,20,Oaxaca,20278,San Miguel Soyaltepec,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
289229,2016,20,Oaxaca,20318,San Pedro Mixtepec Distrito 22,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,1,0,0,1,0,0,0,0,0,0
